,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
106,2024-04-08,2NDX,P,2024-12-20,11975.2,78.2461,117,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2400101483994304
107,2024-04-08,2NDX,C,2024-12-20,11988.27,6589.176,49,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8983480810201189
108,2024-04-08,2NDX,P,2024-12-20,11988.27,78.6689,49,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.239601988339034
109,2024-04-08,2NDX,C,2024-12-20,12000.01,6578.234,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8971149967079431
110,2024-04-08,2NDX,P,2024-12-20,12000.01,79.0503,68,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2392351969553071
111,2024-04-08,2NDX,C,2024-12-20,12050.0,6531.679,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8918841366574822
112,2024-04-08,2NDX,P,2024-12-20,12050.0,80.7105,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2376841123327398
113,2024-04-08,2NDX,C,2024-12-20,12071.78,6511.404,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8896124611258616
114,2024-04-08,2NDX,P,2024-12-20,12071.78,81.4428,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2370073363110064
115,2024-04-08,2NDX,C,2024-12-20,12094.78,6490.0,36,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8872186146907018
116,2024-04-08,2NDX,P,2024-12-20,12094.78,82.2222,36,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2362920612336576
117,2024-04-08,2NDX,C,2024-12-20,12150.0,6438.652,35,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8814953567241413
118,2024-04-08,2NDX,C,2024-12-20,12200.9,6391.356,44,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8762457616619678
119,2024-04-08,2NDX,P,2024-12-20,12200.9,85.9319,44,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2330035084317811
120,2024-04-08,2NDX,C,2024-12-20,12256.53,6339.688,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.870532575579333
121,2024-04-08,2NDX,P,2024-12-20,12256.53,87.9199,46,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.231266212489506
122,2024-04-08,2NDX,C,2024-12-20,12386.41,6219.273,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8573192127677925
123,2024-04-08,2NDX,P,2024-12-20,12386.41,92.7757,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2272306077019058
124,2024-04-08,2NDX,C,2024-12-20,12429.18,6179.684,43,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8530050805181167
125,2024-04-08,2NDX,P,2024-12-20,12429.18,94.4384,43,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2259049423150967
126,2024-04-08,2NDX,C,2024-12-20,12439.67,6169.978,210,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8519494745043444
127,2024-04-08,2NDX,P,2024-12-20,12439.67,94.8504,210,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2255795938492036
128,2024-04-08,2NDX,C,2024-12-20,12448.12,6162.161,13,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8510999547349389
129,2024-04-08,2NDX,P,2024-12-20,12448.12,95.1834,13,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2253174033798365
130,2024-04-08,2NDX,C,2024-12-20,12449.07,6161.282,106,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8510044317279929
131,2024-04-08,2NDX,P,2024-12-20,12449.07,95.221,106,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2252879770650064
132,2024-04-08,2NDX,C,2024-12-20,12572.71,6047.026,64,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.8386489566586682
133,2024-04-08,2NDX,P,2024-12-20,12572.71,100.2169,64,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256,0.2214425801696262
