SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2SPX,C,2024-07-03,2024-12-20,170,5308.2,428.4844,974
2SPX,P,2024-07-03,2024-12-20,170,5308.2,91.1865,974
2SPX,C,2024-07-03,2024-12-20,170,5308.31,428.3923,487
2SPX,P,2024-07-03,2024-12-20,170,5308.31,91.2018,487
2SPX,C,2024-07-03,2024-12-20,170,5308.62,428.1327,29
2SPX,P,2024-07-03,2024-12-20,170,5308.62,91.2447,29
2SPX,C,2024-07-03,2024-12-20,170,5308.64,428.1159,870
2SPX,P,2024-07-03,2024-12-20,170,5308.64,91.2475,870
2SPX,C,2024-07-03,2024-12-20,170,5308.67,428.0929,580
2SPX,P,2024-07-03,2024-12-20,170,5308.67,91.2537,580
2SPX,C,2024-07-03,2024-12-20,170,5308.72,428.0549,387
2SPX,P,2024-07-03,2024-12-20,170,5308.72,91.2645,387
2SPX,C,2024-07-03,2024-12-20,170,5310.52,426.6888,389
2SPX,P,2024-07-03,2024-12-20,170,5310.52,91.6551,389
2SPX,C,2024-07-03,2024-12-20,170,5310.7,426.5522,580
2SPX,P,2024-07-03,2024-12-20,170,5310.7,91.6941,580
2SPX,C,2024-07-03,2024-12-20,170,5310.79,426.4839,779
2SPX,P,2024-07-03,2024-12-20,170,5310.79,91.7137,779
2SPX,C,2024-07-03,2024-12-20,170,5311.3,426.0968,291
2SPX,P,2024-07-03,2024-12-20,170,5311.3,91.8244,291
2SPX,C,2024-07-03,2024-12-20,170,5314.08,423.9872,97
2SPX,P,2024-07-03,2024-12-20,170,5314.08,92.4278,97
2SPX,C,2024-07-03,2024-12-20,170,5314.11,423.9644,291
2SPX,P,2024-07-03,2024-12-20,170,5314.11,92.4343,291
2SPX,C,2024-07-03,2024-12-20,170,5314.18,423.9116,2718
2SPX,P,2024-07-03,2024-12-20,170,5314.18,92.4497,2718
2SPX,C,2024-07-03,2024-12-20,170,5315.34,423.0357,49
2SPX,P,2024-07-03,2024-12-20,170,5315.34,92.706,49
2SPX,C,2024-07-03,2024-12-20,170,5326.19,414.8436,289
2SPX,P,2024-07-03,2024-12-20,170,5326.19,95.1027,289
2SPX,C,2024-07-03,2024-12-20,170,5326.24,414.8058,482
2SPX,P,2024-07-03,2024-12-20,170,5326.24,95.1137,482
2SPX,C,2024-07-03,2024-12-20,170,5326.29,414.7681,482
2SPX,P,2024-07-03,2024-12-20,170,5326.29,95.1248,482
2SPX,C,2024-07-03,2024-12-20,170,5326.32,414.7455,193
2SPX,P,2024-07-03,2024-12-20,170,5326.32,95.1315,193
2SPX,C,2024-07-03,2024-12-20,170,5329.06,412.6831,96
2SPX,P,2024-07-03,2024-12-20,170,5329.06,95.7431,96
2SPX,C,2024-07-03,2024-12-20,170,5329.66,412.2315,771
2SPX,P,2024-07-03,2024-12-20,170,5329.66,95.877,771
2SPX,C,2024-07-03,2024-12-20,170,5330.17,411.8476,388
2SPX,P,2024-07-03,2024-12-20,170,5330.17,95.9909,388
2SPX,C,2024-07-03,2024-12-20,170,5333.3,409.4916,291
2SPX,P,2024-07-03,2024-12-20,170,5333.3,96.6896,291
2SPX,C,2024-07-03,2024-12-20,170,5336.59,407.0152,481
2SPX,P,2024-07-03,2024-12-20,170,5336.59,97.4239,481
2SPX,C,2024-07-03,2024-12-20,170,5345.13,400.5871,251
2SPX,P,2024-07-03,2024-12-20,170,5345.13,99.3302,251
2SPX,C,2024-07-03,2024-12-20,170,5345.99,399.9398,97
2SPX,P,2024-07-03,2024-12-20,170,5345.99,99.5222,97
2SPX,C,2024-07-03,2024-12-20,170,5346.74,399.3752,503
2SPX,P,2024-07-03,2024-12-20,170,5346.74,99.6896,503
2SPX,C,2024-07-03,2024-12-20,170,5346.94,399.2247,97
2SPX,P,2024-07-03,2024-12-20,170,5346.94,99.7343,97
2SPX,C,2024-07-03,2024-12-20,170,5348.75,397.8623,840
2SPX,P,2024-07-03,2024-12-20,170,5348.75,100.1383,840
2SPX,C,2024-07-03,2024-12-20,170,5349.89,397.0042,193
2SPX,P,2024-07-03,2024-12-20,170,5349.89,100.3928,193
2SPX,C,2024-07-03,2024-12-20,170,5349.92,396.9816,290
2SPX,P,2024-07-03,2024-12-20,170,5349.92,100.3995,290
2SPX,C,2024-07-03,2024-12-20,170,5350.38,396.6354,483
2SPX,P,2024-07-03,2024-12-20,170,5350.38,100.5021,483
2SPX,C,2024-07-03,2024-12-20,170,5350.95,396.2063,193
2SPX,P,2024-07-03,2024-12-20,170,5350.95,100.6293,193
2SPX,C,2024-07-03,2024-12-20,170,5357.79,391.0575,386
2SPX,P,2024-07-03,2024-12-20,170,5357.79,102.1559,386
2SPX,C,2024-07-03,2024-12-20,170,5359.42,389.8305,67
2SPX,P,2024-07-03,2024-12-20,170,5359.42,102.5197,67
2SPX,C,2024-07-03,2024-12-20,170,5359.57,389.7176,191
2SPX,P,2024-07-03,2024-12-20,170,5359.57,102.5531,191
2SPX,C,2024-07-03,2024-12-20,170,5363.01,387.1282,479
2SPX,P,2024-07-03,2024-12-20,170,5363.01,103.3209,479
2SPX,C,2024-07-03,2024-12-20,170,5367.8,383.5225,384
2SPX,P,2024-07-03,2024-12-20,170,5367.8,104.3899,384
2SPX,C,2024-07-03,2024-12-20,170,5377.06,376.5521,40
2SPX,P,2024-07-03,2024-12-20,170,5377.06,106.4565,40
2SPX,C,2024-07-03,2024-12-20,170,5378.16,375.724,191
2SPX,P,2024-07-03,2024-12-20,170,5378.16,106.702,191
2SPX,C,2024-07-03,2024-12-20,170,5378.26,375.6488,1718
2SPX,P,2024-07-03,2024-12-20,170,5378.26,106.7244,1718
2SPX,C,2024-07-03,2024-12-20,170,5378.29,375.6262,191
2SPX,P,2024-07-03,2024-12-20,170,5378.29,106.7311,191
2SPX,C,2024-07-03,2024-12-20,170,5395.33,362.8049,191
2SPX,P,2024-07-03,2024-12-20,170,5395.33,110.5396,191
2SPX,C,2024-07-03,2024-12-20,170,5396.92,361.6086,191
2SPX,P,2024-07-03,2024-12-20,170,5396.92,110.895,191
2SPX,C,2024-07-03,2024-12-20,170,5398.75,360.2316,950
2SPX,P,2024-07-03,2024-12-20,170,5398.75,111.304,950
2SPX,C,2024-07-03,2024-12-20,170,5398.91,360.1113,143
2SPX,P,2024-07-03,2024-12-20,170,5398.91,111.3398,143
2SPX,C,2024-07-03,2024-12-20,170,5399.85,359.404,287
2SPX,P,2024-07-03,2024-12-20,170,5399.85,111.5499,287
2SPX,C,2024-07-03,2024-12-20,170,5400.8,358.6892,249
2SPX,P,2024-07-03,2024-12-20,170,5400.8,111.7622,249
2SPX,C,2024-07-03,2024-12-20,170,5402.49,357.4176,665
2SPX,P,2024-07-03,2024-12-20,170,5402.49,112.1399,665
2SPX,C,2024-07-03,2024-12-20,170,5404.58,355.845,189
2SPX,P,2024-07-03,2024-12-20,170,5404.58,112.607,189
2SPX,C,2024-07-03,2024-12-20,170,5404.99,355.5365,143
2SPX,P,2024-07-03,2024-12-20,170,5404.99,112.6987,143
2SPX,C,2024-07-03,2024-12-20,170,5405.04,355.4989,191
2SPX,P,2024-07-03,2024-12-20,170,5405.04,112.7099,191
2SPX,C,2024-07-03,2024-12-20,170,5405.75,354.9648,500
2SPX,P,2024-07-03,2024-12-20,170,5405.75,112.8686,500
2SPX,C,2024-07-03,2024-12-20,170,5407.68,353.5127,152
2SPX,P,2024-07-03,2024-12-20,170,5407.68,113.3001,152
2SPX,C,2024-07-03,2024-12-20,170,5407.73,353.4751,200
2SPX,P,2024-07-03,2024-12-20,170,5407.73,113.3113,200
2SPX,C,2024-07-03,2024-12-20,170,5407.83,353.3999,759
2SPX,P,2024-07-03,2024-12-20,170,5407.83,113.3337,759
2SPX,C,2024-07-03,2024-12-20,170,5411.66,350.5218,379
2SPX,P,2024-07-03,2024-12-20,170,5411.66,114.1934,379
2SPX,C,2024-07-03,2024-12-20,170,5411.96,350.2964,86
2SPX,P,2024-07-03,2024-12-20,170,5411.96,114.2607,86
2SPX,C,2024-07-03,2024-12-20,170,5412.06,350.2212,1898
2SPX,P,2024-07-03,2024-12-20,170,5412.06,114.2832,1898
2SPX,C,2024-07-03,2024-12-20,170,5416.36,346.9901,285
2SPX,P,2024-07-03,2024-12-20,170,5416.36,115.2485,285
2SPX,C,2024-07-03,2024-12-20,170,5417.26,346.3138,381
2SPX,P,2024-07-03,2024-12-20,170,5417.26,115.4505,381
2SPX,C,2024-07-03,2024-12-20,170,5423.31,341.7676,95
2SPX,P,2024-07-03,2024-12-20,170,5423.31,116.8087,95
2SPX,C,2024-07-03,2024-12-20,170,5423.39,341.7075,95
2SPX,P,2024-07-03,2024-12-20,170,5423.39,116.8267,95
2SPX,C,2024-07-03,2024-12-20,170,5424.1,341.174,952
2SPX,P,2024-07-03,2024-12-20,170,5424.1,116.9861,952
2SPX,C,2024-07-03,2024-12-20,170,5424.18,341.1138,381
2SPX,P,2024-07-03,2024-12-20,170,5424.18,117.004,381
2SPX,C,2024-07-03,2024-12-20,170,5424.34,340.9936,190
2SPX,P,2024-07-03,2024-12-20,170,5424.34,117.04,190
2SPX,C,2024-07-03,2024-12-20,170,5424.37,340.9712,285
2SPX,P,2024-07-03,2024-12-20,170,5424.37,117.0468,285
2SPX,C,2024-07-03,2024-12-20,170,5424.4,340.95,95
2SPX,P,2024-07-03,2024-12-20,170,5424.4,117.0549,95
2SPX,C,2024-07-03,2024-12-20,170,5426.47,339.4894,95
2SPX,P,2024-07-03,2024-12-20,170,5426.47,117.6145,95
2SPX,C,2024-07-03,2024-12-20,170,5431.65,335.8344,189
2SPX,P,2024-07-03,2024-12-20,170,5431.65,119.0148,189
2SPX,C,2024-07-03,2024-12-20,170,5443.64,327.3742,94
2SPX,P,2024-07-03,2024-12-20,170,5443.64,122.256,94
2SPX,C,2024-07-03,2024-12-20,170,5444.91,326.4781,566
2SPX,P,2024-07-03,2024-12-20,170,5444.91,122.5993,566
2SPX,C,2024-07-03,2024-12-20,170,5445.99,325.7161,942
2SPX,P,2024-07-03,2024-12-20,170,5445.99,122.8913,942
2SPX,C,2024-07-03,2024-12-20,170,5451.96,321.5037,188
2SPX,P,2024-07-03,2024-12-20,170,5451.96,124.5051,188
2SPX,C,2024-07-03,2024-12-20,170,5461.14,315.0263,470
2SPX,P,2024-07-03,2024-12-20,170,5461.14,126.9867,470
2SPX,C,2024-07-03,2024-12-20,170,5465.43,311.9992,376
2SPX,P,2024-07-03,2024-12-20,170,5465.43,128.1464,376
2SPX,C,2024-07-03,2024-12-20,170,5471.55,307.681,435
2SPX,P,2024-07-03,2024-12-20,170,5471.55,129.8008,435
2SPX,C,2024-07-03,2024-12-20,170,5474.26,305.7688,234
2SPX,P,2024-07-03,2024-12-20,170,5474.26,130.5334,234
2SPX,C,2024-07-03,2024-12-20,170,5486.88,296.8641,841
2SPX,P,2024-07-03,2024-12-20,170,5486.88,133.9449,841
2SPX,C,2024-07-03,2024-12-20,170,5491.89,293.3291,280
2SPX,P,2024-07-03,2024-12-20,170,5491.89,135.2993,280
2SPX,C,2024-07-03,2024-12-20,170,5500.01,287.5996,25
2SPX,C,2024-07-03,2024-12-20,170,5509.76,280.72,372
2SPX,P,2024-07-03,2024-12-20,170,5509.76,140.13,372
2SPX,C,2024-07-03,2024-12-20,170,5538.01,260.7868,1850
2SPX,P,2024-07-03,2024-12-20,170,5538.01,147.7668,1850
2SPX,C,2024-07-03,2024-12-20,170,5539.01,260.0812,185
2SPX,P,2024-07-03,2024-12-20,170,5539.01,148.0371,185
2SPX,C,2024-07-03,2024-12-20,170,5541.25,258.5007,277
2SPX,P,2024-07-03,2024-12-20,170,5541.25,148.6427,277
2SPX,C,2024-07-03,2024-12-20,170,5548.94,253.0746,369
2SPX,P,2024-07-03,2024-12-20,170,5548.94,150.7215,369
2SPX,C,2024-07-03,2024-12-20,170,5549.0,253.0323,185
2SPX,P,2024-07-03,2024-12-20,170,5549.0,150.7377,185
2SPX,C,2024-07-03,2024-12-20,170,5549.68,252.5525,55
2SPX,P,2024-07-03,2024-12-20,170,5549.68,150.9216,55
2SPX,C,2024-07-03,2024-12-20,170,5549.76,252.496,185
2SPX,P,2024-07-03,2024-12-20,170,5549.76,150.9432,185
2SPX,C,2024-07-03,2024-12-20,170,5549.78,252.4825,185
2SPX,P,2024-07-03,2024-12-20,170,5549.78,150.9492,185
2SPX,C,2024-07-03,2024-12-20,170,5549.83,252.4523,923
