,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
122,122,2024-04-08,2NDX,C,2024-09-20,17977.47,1211.68,40,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
123,123,2024-04-08,2NDX,P,2024-09-20,17977.47,680.5979,40,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
124,124,2024-04-08,2NDX,C,2024-09-20,18121.04,1122.983,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
125,125,2024-04-08,2NDX,P,2024-09-20,18121.04,732.0992,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
126,126,2024-04-08,2NDX,C,2024-09-20,18375.91,973.754,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
127,127,2024-04-08,2NDX,P,2024-09-20,18375.91,831.754,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
128,128,2024-04-08,2NDX,C,2024-09-20,18475.92,918.9772,120,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
129,129,2024-04-08,2NDX,P,2024-09-20,18475.92,874.6385,120,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
130,130,2024-04-08,2NDX,P,2024-10-18,16000.01,293.2226,25,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,193
131,131,2024-04-08,2NDX,P,2024-11-15,16000.01,352.9015,27,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,221
132,132,2024-04-08,2NDX,P,2024-12-20,6000.01,4.475,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
133,133,2024-04-08,2NDX,P,2024-12-20,8837.56,20.5383,69,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
